hom_2_9	rescue%1:04:00::	economy%1:04:00::
hom_981_13	stun%2:30:00::	sandbag%2:35:00::
hom_984_21	lock%1:06:02::	lock_in%2:35:00::
hom_985_11	polarity%1:24:00::	sign%2:41:00::
hom_987_10	calf%1:05:01::	calf%1:05:00::
hom_990_11	plant%2:35:00::	establish%2:36:00::
hom_992_21	poacher%1:05:00::	poacher%1:06:00::
hom_993_19	booking%1:04:00::	reservation%1:15:00::
hom_994_11	staff%1:10:00::	stave%2:30:00::
hom_995_17	calve%2:35:00::	calve%2:29:00::
hom_996_16	throw%1:06:00::	hold%2:36:00::
hom_998_19	child%1:18:00::	pull_the_leg_of%2:32:00::
hom_1002_11	distributor_point%1:06:00::	degree%1:26:01::
hom_1004_12	stalk%1:04:01::	stalk%1:04:02::
hom_1006_11	faculty%1:09:00::	staff%1:14:00::
hom_1007_15	look%2:39:01::	look%2:39:00::
hom_1010_9	reflective%3:00:00::	brooding%5:00:00:thoughtful:00
hom_1013_5	tap%2:40:04::	tap%2:35:02::
hom_1015_13	strain%1:19:00::	tune%1:10:00::
hom_1016_18	sentence%1:10:00::	conviction%1:04:00::
hom_1017_15	picket%1:18:00::	lookout%1:18:00::
hom_1018_7	turn%1:04:01::	become%2:42:01::
hom_1020_7	absorb%2:35:00::	absorb%2:31:00::
hom_1023_3	stone%1:20:00::	pit%1:17:00::
hom_1024_12	connection%1:24:00::	connection%1:26:00::
hom_1025_8	render%2:40:01::	supply%2:40:00::
hom_1030_8	state_of_matter%1:26:00::	state%1:14:00::
hom_1031_11	circulation%1:23:00::	circulation%1:10:00::
hom_1032_11	buttocks%1:08:00::	grim%5:00:00:implacable:00
hom_1034_16	dark%3:00:01::	dark%5:00:00:ill-natured:00
hom_1036_13	visualize%2:36:00::	undertaking%1:04:00::
hom_1037_7	bull%1:18:00::	collar%2:35:00::
hom_1039_9	fire%1:22:00::	open_fire%2:33:00::
hom_1040_8	develop%2:33:03::	originate%2:42:00::
hom_1043_10	counter%1:06:06::	counter%1:06:00::
hom_1044_12	strike%1:04:05::	hit%2:35:01::
hom_1045_12	net%1:06:00::	final%5:00:00:ultimate:00
hom_1049_7	caption%1:10:00::	legend%1:10:01::
hom_1052_18	snip%2:35:00::	crop%1:20:00::
hom_1054_4	turf%1:17:00::	turf%2:35:00::
hom_1056_43	expression%1:07:00::	look%2:39:01::
hom_1058_9	manner_of_speaking%1:10:00::	delivery%1:04:04::
hom_1060_15	sentence%1:10:00::	conviction%1:04:00::
hom_1061_13	spectacle%1:10:00::	spectacle%1:06:00::
hom_1063_13	take%1:04:00::	necessitate%2:42:00::
hom_1065_14	play%2:35:07::	play%2:41:12::
hom_1066_15	crack%2:30:01::	breakage%1:04:00::
hom_1067_16	serve%1:04:00::	serve%2:33:00::
hom_1071_18	standard%1:10:00::	criterion%1:09:00::
hom_1072_17	harden%2:30:00::	inure%2:30:00::
hom_1073_17	volume%1:10:00::	volume%1:23:00::
hom_1074_12	hook_shot%1:04:00::	pilfer%2:40:00::
hom_1078_8	monumental%3:01:00::	massive%5:00:00:large:00
hom_1079_13	grain%1:20:00::	grain%1:17:00::
hom_1082_12	core%1:06:02::	kernel%1:09:00::
hom_1084_12	space%1:25:00::	space%1:03:00::
hom_1085_10	tent-fly%1:06:00::	fly%2:38:00::
hom_1086_7	put_option%1:04:00::	put%2:35:00::
hom_1090_18	fad%1:09:00::	fury%1:12:00::
hom_1092_12	heart%1:25:00::	center%1:15:01::
hom_1093_12	circulation%1:11:00::	circulation%1:10:00::
hom_1100_13	snag%1:20:00::	rip%1:17:00::
hom_1101_21	bloomer%1:20:00::	blunder%1:04:00::
hom_1102_13	breakwater%1:06:00::	mole%1:07:00::
hom_1103_8	base_on_balls%1:04:00::	walk%2:38:00::
hom_1107_22	relief%1:21:00::	relief%1:12:00::
hom_1109_4	scabies%1:26:00::	rub%2:39:00::
hom_1111_3	miss%1:11:00::	miss%2:39:00::
hom_1114_5	foundation%1:09:01::	basis%1:09:00::
hom_1116_16	cavity%1:22:00::	pit%1:17:00::
hom_1117_7	dead%3:00:02::	all_in%5:00:00:tired:00
hom_1119_44	mature%2:30:00::	mature%2:32:00::
hom_1122_14	beehive%1:17:00::	beehive%1:06:00::
hom_1123_18	hard%3:00:03::	hard%5:00:00:strong:00
hom_1124_10	balance%1:21:00::	remainder%1:24:00::
hom_1126_6	calf%1:05:01::	calf%1:05:00::
hom_1130_14	drill%1:06:00::	exercise%1:04:02::
hom_1132_12	root%1:20:00::	beginning%1:15:00::
hom_1135_12	pool%1:06:00::	pond%1:17:00::
hom_1136_16	concentration%1:07:02::	concentration%1:07:03::
hom_1139_14	develop%2:36:01::	originate%2:42:00::
hom_1140_25	fault%1:11:00::	mistake%1:04:00::
hom_1143_2	charge%1:21:02::	charge%2:33:00::
hom_1147_10	draw%1:04:02::	draw%1:06:01::
hom_1148_18	float%1:06:02::	float%2:38:00::
hom_1151_20	aggregate%1:14:00::	sum%1:06:00::
hom_1153_10	ring%1:06:00::	hoop%1:06:00::
hom_1154_5	device%1:06:00::	device%1:10:00::
hom_1155_10	develop%2:30:06::	evolve%2:36:00::
hom_1156_8	reception%1:10:00::	reception%1:10:01::
hom_1158_9	put%2:35:00::	lie%2:35:00::
hom_1160_16	elimination%1:04:03::	elimination%1:04:02::
hom_1161_13	booking%1:04:00::	reservation%1:15:00::
hom_1162_8	lumber%1:27:00::	log%2:35:00::
hom_1165_9	downhill%1:17:00::	downhill%4:02:01::
hom_1166_4	nursing%1:04:00::	harbor%2:37:00::
hom_1168_14	child%1:18:00::	pull_the_leg_of%2:32:00::
hom_1171_21	batter%1:13:00::	buffet%2:35:00::
hom_1172_3	salivate%2:37:00::	drivel%2:29:00::
hom_1173_8	strain%1:19:00::	tune%1:10:00::
hom_1174_9	crave%2:34:00::	hunger%1:07:00::
hom_1175_13	tune%1:07:00::	tune%2:30:01::
hom_1179_7	scale%1:17:00::	scale%2:36:00::
hom_1181_19	bust%1:06:00::	bust%1:04:00::
hom_1182_18	equip%2:40:00::	meet%2:42:01::
hom_1184_18	boot%2:29:00::	boot%2:35:00::
hom_1185_8	recover%2:40:00::	recuperate%2:29:00::
hom_1186_14	collision%1:11:01::	hit%1:04:03::
hom_1190_11	rich%3:00:02::	fat%5:00:00:fruitful:00
hom_1191_15	legal_profession%1:14:00::	barroom%1:06:00::
hom_1192_9	capture%2:37:00::	entrance%2:29:00::
hom_1194_16	straight%4:02:00::	directly%4:02:00::
hom_1195_13	world%1:09:00::	earth%1:17:00::
hom_1198_10	handle%1:06:00::	clasp%1:04:00::
hom_1200_7	roller%1:11:00::	roll%2:38:09::
hom_1201_6	wave%1:18:00::	wave%1:11:01::
hom_1209_18	target%1:06:00::	aim%1:09:01::
hom_1211_5	lode%1:19:00::	load%2:35:01::
hom_1213_18	swallow%2:34:00::	immerse%2:35:01::
hom_1214_9	pick%1:06:00::	blame%2:32:01::
hom_1215_14	while%1:28:00::	bandage%1:06:00::
hom_1217_9	postpone%2:42:00::	shelve%2:35:10::
hom_1224_17	spin%1:04:03::	spin%1:04:00::
hom_1227_6	take%2:31:07::	necessitate%2:42:00::
hom_1229_12	still%1:06:00::	still%4:02:01::
hom_1232_16	campaign%1:04:02::	force%2:35:02::
hom_1234_12	run%1:28:00::	run%2:38:00::
hom_1236_14	penetrate%2:31:00::	fathom%1:23:02::
hom_1238_5	perspiration%1:08:00::	effort%1:04:01::
hom_1239_12	kernel%1:09:00::	total%2:32:00::
hom_1241_4	beltway%1:06:00::	bypass%2:32:00::
hom_1245_4	cadaver%1:08:00::	remains%1:17:00::
hom_1246_7	vegetate%2:42:00::	vege_out%2:29:00::
hom_1247_8	refine%2:30:00::	complicate%2:30:01::
hom_1249_8	cast%2:36:01::	frame%2:32:00::
hom_1251_18	turn%1:04:01::	turn%2:38:00::
hom_1257_11	prosecute%2:41:02::	hire%2:41:00::
hom_1260_27	cinch%1:06:00::	cinch%1:04:01::
hom_1262_11	form%1:14:02::	tune%1:10:00::
hom_1267_16	guidance%1:10:00::	direction%1:15:00::
hom_1268_10	milk%1:08:00::	milk%1:13:01::
hom_1269_11	hell%1:09:02::	underworld%1:14:00::
hom_1270_9	wrap%1:06:00::	wrap%2:35:00::
hom_1274_12	induce%2:32:00::	make%2:30:00::
hom_1275_20	groove%1:25:00::	channel%1:10:00::
hom_1276_7	group%2:31:00::	group%1:03:00::
hom_1277_6	aim%2:33:00::	necessitate%2:42:00::
hom_1278_16	cavity%1:22:00::	pit%1:17:00::
hom_1279_18	estrus%1:26:00::	heat%2:30:01::
hom_1281_7	pull_back%2:35:01::	drawing%1:10:00::
hom_1282_9	unstring%2:35:00::	unstrung%5:00:00:discomposed:00
hom_1283_15	cold%3:00:01::	cold%5:00:00:stale:00
hom_1284_6	jerk%2:35:00::	jerk%1:04:00::
hom_1287_16	combination%1:14:03::	combination%1:14:00::
hom_1291_6	rave%1:11:00::	rant%2:32:00::
hom_1292_15	go%1:04:00::	become%2:30:00::
hom_1294_13	heat%1:11:00::	heat%2:30:01::
hom_1295_8	bust%1:06:00::	tear%2:35:00::
hom_1296_12	highlight%1:24:00::	highlight%1:07:00::
hom_1298_3	boil%2:30:01::	boil%2:30:00::
hom_1300_10	conviction%1:04:00::	sentence%1:10:00::
hom_1301_13	impact%2:35:01::	impact%1:11:00::
hom_1304_11	commission%1:26:00::	committee%1:14:00::
hom_1305_8	interest%1:21:00::	interest%1:09:00::
hom_1310_8	skeleton%1:06:00::	skeleton%1:23:00::
hom_1311_10	rock%1:27:00::	rock%2:38:00::
hom_1312_6	flop%1:18:00::	flop%1:04:00::
hom_1314_14	break_in%2:41:00::	unwrap%2:32:00::
hom_1315_7	credit%1:21:01::	citation%1:10:01::
hom_1317_15	develop%2:30:05::	originate%2:42:00::
hom_1323_9	judgment%1:09:00::	judgment%1:09:04::
hom_1326_16	intestine%1:08:00::	catgut%1:06:00::
hom_1327_18	lead%1:27:00::	run%2:42:00::
hom_1331_17	hoop%1:06:00::	ring%1:07:00::
hom_1332_18	connection%1:04:01::	connection%1:24:00::
hom_1334_10	shanghai%2:35:00::	affect%2:37:00::
hom_1336_9	react%2:30:00::	react%2:31:00::
hom_1339_17	mark%1:07:02::	mark%1:09:01::
hom_1340_7	draw%1:04:02::	describe%2:32:00::
hom_1342_12	recourse%1:07:00::	haunt%1:15:00::
hom_1343_12	jam%2:35:00::	cram%2:35:10::
hom_1345_16	connection%1:24:00::	connection%1:26:00::
hom_1348_13	lie%1:10:00::	lie%2:35:00::
hom_1349_12	point%1:21:00::	indicate%2:32:03::
hom_1351_10	undertake%2:36:00::	undertake%2:32:00::
hom_1352_7	tidal_bore%1:11:00::	digest%2:31:03::
hom_1355_4	hot%3:00:01::	hot%5:00:00:violent:00
hom_1356_15	pupil%1:08:00::	student%1:18:00::
hom_1358_9	run%1:28:00::	run%2:38:00::
hom_1363_10	trickle%2:38:00::	drivel%2:29:00::
hom_1366_12	arouse%2:38:00::	bustle%1:04:00::
hom_1367_16	web%1:17:00::	network%1:14:00::
hom_1368_13	comfortable%3:00:01::	comfortable%5:00:00:rich:00
hom_1369_2	nail%1:06:00::	collar%2:35:00::
hom_1372_10	judge%2:41:09::	try%2:41:00::
hom_1377_12	drift%1:17:00::	roll%2:38:09::
hom_1379_8	keep%2:42:00::	continue%2:42:01::
hom_1381_14	shot%1:06:03::	shooting%1:04:00::
hom_1382_12	lie%2:35:00::	lie%2:42:00::
hom_1383_15	rattle%1:11:00::	rattle%2:39:00::
hom_1389_8	astronomic%3:01:00::	astronomic%5:00:00:large:00
hom_1391_7	acculturation%1:09:00::	culture%2:30:00::
hom_1393_9	chime%1:06:00::	chime%2:39:00::
hom_1394_8	break%2:42:05::	unwrap%2:32:00::
hom_1395_12	scale%1:10:00::	scale%1:24:03::
hom_1396_10	strain%1:19:00::	tune%1:10:00::
hom_1397_6	mint%2:36:00::	hit%2:35:01::
hom_1400_19	strike%1:04:05::	hit%2:35:01::
hom_1401_13	console%1:06:02::	comfort%2:37:01::
hom_1403_10	digit%1:23:00::	number%1:07:00::
hom_1404_15	flap%1:06:01::	flap%1:06:00::
hom_1407_4	run%2:38:00::	run%1:04:01::
hom_1408_13	sentence%1:10:00::	conviction%1:04:00::
hom_1410_9	taste%1:09:01::	taste%1:09:02::
hom_1412_19	gravitate%2:38:00::	gravitate%2:42:01::
hom_1414_16	breed%2:29:00::	multiply%4:02:00::
hom_1416_20	fall%2:30:08::	fall%1:28:00::
hom_1417_10	interest%1:21:00::	interest%1:09:00::
hom_1419_10	brush%1:04:04::	brush%2:35:01::
hom_1421_13	department_of_state%1:14:00::	state%1:14:00::
hom_1423_15	guide%1:18:02::	lead%2:38:01::
hom_1426_8	iteration%1:22:01::	closed_circuit%1:06:00::
hom_1427_3	radiate%2:42:00::	glow%2:39:01::
hom_1428_8	punch%1:13:00::	punch%2:35:00::
hom_1429_26	single%1:04:00::	one%1:23:00::
hom_1431_10	decrease%2:30:00::	fall%2:38:03::
hom_1432_10	attraction%1:07:00::	attraction%1:19:00::
hom_1433_10	measuring_stick%1:06:00::	measure%2:31:01::
hom_1435_17	progress%1:11:00::	promote%2:41:01::
hom_1436_9	shuffle%1:04:00::	shuffle%2:38:00::
hom_1437_15	drive%1:04:03::	repel%2:35:00::
hom_1439_11	grade%1:26:00::	degree%1:07:00::
hom_1441_9	hide%2:39:01::	hide%2:39:00::
hom_1442_14	harp%1:06:00::	harp%1:06:01::
hom_1449_20	hand%1:14:00::	cover%2:32:01::
hom_1450_9	discharge%1:22:00::	fire%2:33:00::
hom_1452_15	depth%1:07:01::	depth%1:07:00::
hom_1462_18	scoop%1:25:00::	pocket%2:40:00::
hom_1463_17	concrete%1:27:00::	concrete%5:00:00:solid:01
hom_1465_17	dazed%5:00:00:lethargic:00	bleary%5:00:00:indistinct:00
hom_1469_4	date%1:13:00::	go_steady%2:41:00::
hom_1470_5	tip%1:15:00::	lean%2:38:00::
hom_1471_11	fold%2:30:00::	fold%2:35:00::
hom_1477_15	sheet%1:06:02::	tack%1:06:00::
hom_1479_22	plot%1:10:00::	plot%1:15:00::
hom_1483_12	swab%1:06:00::	wipe_up%2:35:00::
hom_1485_15	time%1:03:00::	time%1:28:05::
hom_1488_18	lead%1:25:00::	lead%1:07:02::
hom_1492_14	run%2:42:00::	run%2:38:00::
hom_1496_16	supreme_headquarters_allied_powers_europe%1:14:00::	human_body%1:08:00::
hom_1497_12	return%1:21:00::	tax_return%1:10:00::
hom_1499_9	still%3:00:03::	still%4:02:01::
hom_1501_12	animate%3:00:02::	animate%2:29:00::
hom_1503_4	draw%1:06:00::	describe%2:32:00::
hom_1504_10	function%1:24:00::	function%1:04:00::
hom_1505_22	party%2:41:00::	party%1:14:01::
hom_1507_15	hitch%2:35:13::	arrest%1:26:00::
hom_1508_15	put%2:35:00::	put%2:35:05::
hom_1509_7	wrap%1:06:00::	wrap%2:35:00::
hom_1510_7	pugnacious%5:00:00:aggressive:00	approximate%5:00:00:inexact:00
hom_1514_5	deep%3:00:01::	cryptic%5:00:00:inexplicable:00
hom_1516_14	move%1:04:02::	travel%2:38:00::
hom_1517_14	chip%1:04:01::	chip%2:35:01::
hom_1518_18	fill%2:30:01::	meet%2:34:00::
hom_1520_7	breeze%1:19:00::	breeze%2:43:00::
hom_1521_9	suspend%2:30:01::	suspend%2:35:00::
hom_1523_14	key%1:15:00::	cardinal%5:00:00:important:00
hom_1527_18	collect%1:10:00::	gather%2:35:00::
hom_1532_14	rich_people%1:14:00::	deep%5:00:00:colorful:00
hom_1534_17	pump%2:33:00::	pump%2:35:00::
hom_1535_10	flawlessly%4:02:00::	cleanly%4:02:02::
hom_1537_9	odds%1:24:00::	odds%1:07:00::
hom_1538_6	umbrella%1:04:00::	umbrella%1:06:00::
hom_1539_10	unplug%2:35:00::	disconnect%2:35:00::
hom_1540_15	unwrap%2:32:00::	uncover%2:39:00::
hom_1541_12	partial%5:00:00:incomplete:00	fond%5:00:00:inclined:02
hom_1542_9	turn%1:04:01::	act%1:10:02::
hom_1543_14	execution%1:10:01::	performance%1:04:00::
hom_1545_17	pick%1:06:00::	clean%2:30:01::
hom_1547_10	die%2:30:00::	exhale%2:29:00::
hom_1549_14	strike%1:04:05::	strike%1:04:00::
hom_1553_11	start%1:15:00::	scratch%1:07:00::
hom_1556_7	hydrofoil%1:06:01::	thwart%2:41:00::
hom_1557_6	storm%2:35:00::	storm%1:19:00::
hom_1558_9	stroke%1:04:00::	throw%1:11:00::
hom_1559_10	count%1:23:00::	consider%2:32:00::
hom_1560_7	high_gear%1:06:00::	eminent%5:00:00:superior:01
hom_1561_16	column%1:06:02::	column%1:14:00::
hom_1563_12	synagogue%1:06:00::	temple%1:06:00::
hom_1564_14	floor%1:06:03::	floor%1:06:00::
hom_1565_9	unstring%2:35:00::	unstrung%5:00:00:discomposed:00
hom_1567_13	pace%1:04:00::	footstep%1:23:00::
hom_1569_9	fork%1:25:00::	fork%1:06:00::
hom_1570_11	recover%2:40:00::	recuperate%2:29:00::
hom_1573_6	dry%3:00:01::	dry%5:00:00:humorous:00
hom_1578_10	dark%3:00:01::	dark%5:00:00:brunet:00
hom_1579_16	induce%2:32:00::	become%2:30:00::
hom_1585_13	ground%1:06:01::	land%1:17:00::
hom_1587_9	weed%1:06:01::	weed%2:30:00::
hom_1588_16	cut%2:35:07::	cut%1:26:00::
hom_1589_13	unravel%2:35:00::	ravel%2:35:01::
hom_1590_20	charge%2:30:00::	charge%2:33:00::
hom_1591_7	faint%5:00:00:perceptible:00	dim%5:00:00:indistinct:00
hom_1592_11	fold%2:30:00::	fold%2:35:00::
hom_1593_4	quarter%1:21:00::	one-fourth%1:23:00::
hom_1602_20	short%3:00:04::	short%1:06:00::
hom_1605_15	screw%1:06:01::	sleep_together%2:35:00::
hom_1608_11	chain%1:18:00::	chain%2:35:01::
hom_1609_16	firm%5:00:00:resolute:00	rigid%5:00:00:inflexible:01
hom_1610_11	coaster%1:18:00::	coaster%1:06:00::
hom_1615_7	cook%2:36:00::	make%2:30:00::
hom_1617_15	stoop%1:04:00::	crouch%2:38:00::
hom_1618_13	sight%1:09:00::	imagination%1:09:01::
hom_1620_11	still%1:06:00::	still%4:02:01::
hom_1622_7	braggadocio%1:10:00::	boast%2:32:00::
hom_1624_9	disassociate%2:41:00::	disjoin%2:35:01::
hom_1625_14	makeup%1:06:00::	constitution%1:07:00::
hom_1627_10	release%1:04:06::	release%1:06:00::
hom_1628_10	stop_consonant%1:10:00::	discontinue%2:42:00::
hom_1632_15	choke%1:06:01::	die%2:30:00::
hom_1635_11	distributor_point%1:06:00::	degree%1:26:01::
hom_1636_11	chopper%1:08:00::	chop%1:04:01::
hom_1637_15	mouse%1:06:00::	mouse%1:05:00::
hom_1638_12	move%2:38:01::	travel%2:38:00::
hom_1642_6	earshot%1:15:00::	hearing%1:04:01::
hom_1645_11	caper%1:13:00::	antic%1:04:00::
hom_1646_7	latitude%1:15:00::	latitude%1:15:01::
hom_1647_10	circulation%1:10:00::	circulation%1:19:00::
hom_1648_11	inner_light%1:16:00::	clean%5:00:01:pure:02
hom_1650_6	drudgery%1:04:00::	grind%1:07:00::
hom_1651_22	phase%1:07:00::	phase%1:28:00::
hom_1652_8	paper%1:27:00::	newspaper%1:10:00::
hom_1653_13	light%5:00:00:digestible:00	clean%5:00:01:pure:02
hom_1655_6	tablet%1:06:02::	pad%1:27:01::
hom_1657_9	layer%1:05:01::	layer%1:06:00::
hom_1658_10	spoil%1:21:00::	botch%2:41:00::
hom_1661_12	recoil%1:11:01::	bang%1:12:00::
hom_1663_8	unwind%2:35:06::	relax%2:29:00::
hom_1666_5	part%1:09:02::	depart%2:38:01::
hom_1670_10	interest%1:21:00::	interest%1:09:00::
hom_1671_10	attach%2:35:01::	impound%2:40:00::
hom_1675_10	revolution%1:11:01::	revolution%1:04:00::
hom_1676_12	chime%1:06:00::	chime%2:39:00::
hom_1680_9	heart%1:06:00::	center%1:15:01::
hom_1682_14	light%1:19:00::	clean%5:00:01:pure:02
hom_1685_10	flicker%1:11:00::	discharge%1:19:00::
hom_1687_13	work%1:19:00::	work%1:06:00::
hom_1689_7	vision%1:09:03::	imagination%1:09:01::
hom_1690_4	fumigate%2:39:00::	fume%2:37:00::
hom_1691_15	proof%1:23:00::	proof%1:10:00::
hom_1692_11	backhand%3:00:00::	backhanded%5:00:00:indirect:02
hom_1694_12	blow%1:04:02::	float%2:38:00::
hom_1697_26	contact%1:06:01::	contact%1:04:02::
hom_1698_17	glare%1:07:00::	blaze%1:22:00::
hom_1700_16	tire%2:29:01::	tire%2:29:00::
hom_1702_5	short%5:00:00:breakable:00	short%3:00:02::
hom_1703_13	incense%1:27:00::	infuriate%2:37:00::
hom_1704_15	point%1:17:02::	degree%1:26:01::
hom_1707_13	necktie%1:06:00::	connect%2:35:00::
hom_1708_3	flag%1:06:00::	sag%2:38:00::
hom_1709_5	relative%1:18:00::	proportional%5:00:00:proportionate:00
hom_1711_7	buzz%2:39:00::	buzz%2:38:00::
hom_1713_13	attractive%3:00:02::	attractive%5:00:00:appealing:00
hom_1714_8	change%1:11:00::	change%2:30:01::
hom_1715_7	burst%2:30:01::	flop%1:11:00::
hom_1719_13	unleash%2:35:02::	unleash%2:35:00::
hom_1720_15	sentence%1:10:00::	conviction%1:04:00::
hom_1726_13	remote_control%1:06:00::	distant%5:00:02:far:00
hom_1727_11	bit%1:17:00::	moment%1:28:01::
hom_1729_10	table%1:06:01::	table%1:14:00::
hom_1732_12	fine%5:00:00:pure:02	fine%1:21:00::
hom_1734_12	dawn%1:28:01::	click%2:31:13::
hom_1737_4	poach%2:33:00::	poach%2:30:00::
hom_1739_11	high_gear%1:06:00::	eminent%5:00:00:superior:01
hom_1742_20	circulation%1:23:00::	circulation%1:10:00::
hom_1744_12	kernel%1:09:00::	total%2:32:00::
hom_1748_19	tight-fitting%5:00:00:tight:01	skinny%1:10:00::
hom_1749_15	pepper%1:13:01::	pepper%2:33:00::
hom_1750_11	stop_consonant%1:10:00::	discontinue%2:42:00::
hom_1751_20	stone%1:06:00::	stone%2:35:00::
hom_1756_14	give%2:40:01::	endowment%1:09:00::
hom_1758_11	feed%2:30:01::	feed%2:34:04::
hom_1759_13	congress_of_racial_equality%1:14:00::	kernel%1:09:00::
hom_1760_8	love%1:12:00::	love%2:37:00::
hom_1761_5	browning_automatic_rifle%1:06:00::	barroom%1:06:00::
hom_1763_16	puzzle%1:06:00::	puzzle%1:10:00::
hom_1764_17	weight%1:06:01::	weight%1:07:00::
hom_1766_9	glare%1:07:00::	blaze%1:22:00::
hom_1767_11	change%2:30:00::	change%1:11:00::
hom_1768_8	administer%2:29:00::	distribute%2:40:00::
hom_1770_10	hacker%1:18:01::	hack%1:18:00::
hom_1771_10	tease%1:04:00::	ribbing%1:06:00::
hom_1773_13	star%1:17:00::	ace%1:18:00::
hom_1775_10	mistake%1:04:00::	defect%1:26:00::
hom_1778_13	hang%1:04:00::	hang%2:35:04::
hom_1780_9	down%1:08:00::	batch%1:23:00::
hom_1781_5	movie%1:10:00::	visualize%2:36:00::
hom_1782_16	be%2:41:00::	watch%2:41:00::
hom_1783_9	draw%1:04:02::	describe%2:32:00::
hom_1785_5	stick%1:06:04::	stay%2:38:00::
hom_1786_13	pick%1:06:00::	blame%2:32:01::
hom_1787_9	step%1:06:00::	step%2:38:00::
hom_1790_10	beat%1:04:00::	beat%2:33:00::
hom_1791_7	flop%1:18:00::	flop%1:04:00::
hom_1792_24	strike%1:04:05::	strike%1:04:00::
hom_1796_9	sculpt%2:35:00::	grave%1:06:00::
hom_1797_15	fudge%1:13:00::	hedge%2:32:00::
hom_1798_5	frame%2:31:00::	write%2:36:00::
hom_1799_8	bulk%1:07:00::	volume%1:23:00::
hom_1801_7	chop%1:13:00::	chop%1:04:00::
hom_1803_15	drop%1:15:00::	drop%1:23:00::
hom_1804_14	proverb%1:10:00::	see%2:39:00::
hom_1806_12	hit%2:35:01::	reach%2:38:01::
hom_1807_10	mottle%2:36:00::	stripe%1:07:00::
hom_1808_9	part%1:10:00::	depart%2:38:01::
hom_1809_6	crude%5:00:00:early:02	crude%5:00:01:unskilled:00
hom_1813_12	draft%1:04:00::	draft%2:36:00::
hom_1815_17	pinch%1:26:00::	emergency%1:11:00::
hom_1821_10	open_fire%2:33:00::	arouse%2:37:00::
hom_1822_17	concentration%1:07:02::	concentration%1:07:03::
hom_1824_11	novel%1:06:00::	fresh%5:00:00:original:00
hom_1825_2	huddle%1:10:00::	huddle%1:14:00::
hom_1826_12	stone%1:20:00::	pit%1:17:00::
hom_1831_8	washout%1:22:00::	wash%2:29:00::
hom_1832_9	heart%1:06:00::	heart%1:09:00::
hom_1833_10	sage%1:18:00::	sage%1:13:00::
hom_1834_5	dead%3:00:02::	all_in%5:00:00:tired:00
hom_1835_8	embroil%2:42:00::	sweeping%5:00:00:wide:00
hom_1837_15	shoot%2:43:00::	blast%2:33:01::
hom_1838_17	delicious%1:13:00::	delightful%5:00:00:pleasing:00
hom_1840_16	necktie%1:06:00::	connect%2:35:00::
hom_1843_12	semen%1:08:00::	arrive%2:38:00::
hom_1844_9	mistake%1:04:00::	blame%2:32:00::
hom_1848_13	painting%1:06:00::	movie%1:10:00::
hom_1849_7	blow%2:30:07::	float%2:38:00::
hom_1852_9	snap%1:04:03::	tear%2:35:00::
hom_1853_13	prima_donna%1:18:00::	dive%2:38:00::
hom_1854_3	pass%1:04:02::	happen%2:30:00::
hom_1855_4	repress%2:41:00::	smother%2:35:01::
hom_1856_7	dictate%2:31:00::	order%2:32:02::
hom_1858_7	beat%2:35:01::	rhythm%1:10:01::
hom_1860_11	pull%1:04:00::	pull%2:35:00::
hom_1862_20	service%1:14:05::	service%1:04:08::
hom_1863_8	score%1:10:00::	mark%1:09:01::
hom_1866_9	blow%1:04:02::	blow%1:04:01::
hom_1870_11	binding%1:06:00::	back%2:41:00::
hom_1872_9	articulation%1:25:00::	joint%5:00:00:shared:00
hom_1873_24	cell%1:06:00::	cell%1:03:00::
hom_1875_13	distributor_point%1:06:00::	point%1:09:00::
hom_1878_16	shock%1:26:00::	shock%2:37:02::
hom_1880_10	hole%1:06:01::	hole%1:17:01::
hom_1883_13	poster%1:10:00::	bill%1:10:04::
hom_1884_19	puff%2:34:00::	drag%1:19:00::
hom_1885_13	pulley%1:06:00::	block%1:06:00::
hom_1887_10	mothball%1:06:00::	mothball%2:40:00::
hom_1888_13	mug%1:23:00::	mug%2:40:00::
hom_1891_9	magnetic%3:00:01::	charismatic%5:00:00:attractive:01
hom_1892_8	nucleus%1:17:01::	nucleus%1:08:00::
hom_1894_17	shock%1:26:00::	shock%2:37:02::
hom_1903_9	iteration%1:22:01::	closed_circuit%1:06:00::
hom_1905_14	conviction%1:04:00::	conviction%1:09:00::
hom_1906_8	keel%1:08:00::	stagger%2:38:00::
hom_1907_14	go%1:04:00::	become%2:30:00::
hom_1913_13	form%2:42:00::	kind%1:09:00::
hom_1915_6	grow%2:29:00::	originate%2:42:00::
hom_1917_11	hang%1:04:00::	hang%2:35:03::
hom_1921_24	material%1:27:00::	thrust%2:38:02::
hom_1922_9	pressing%1:06:00::	press%1:04:00::
hom_1923_13	equip%2:40:00::	fit%1:26:01::
hom_1924_19	cut%2:35:07::	cut%1:26:00::
hom_1925_12	hoop%1:06:00::	ring%1:07:00::
hom_1926_8	speaker%1:18:00::	loudspeaker%1:06:00::
hom_1927_11	top_out%2:38:00::	peak%1:15:00::
hom_1929_12	roll%1:04:00::	roll%2:38:09::
hom_1932_14	step%1:06:00::	measure%1:04:01::
hom_1933_9	offensive%3:00:01::	offensive%5:00:00:offending:00
hom_1934_16	breastfeed%2:34:00::	suck%2:34:04::
