hom_3_7	sting%1:26:01::	sting%2:35:01::
hom_868_16	entrance%2:29:00::	entrance%2:37:00::
hom_870_15	clog%2:35:01::	clogged%5:00:00:thick:02
hom_871_10	bundle%2:29:00::	bundle%2:35:00::
hom_872_9	track%2:38:01::	track%1:17:00::
hom_873_10	spent%5:00:00:tired:00	spent%3:00:00::
hom_876_9	plug%2:35:00::	plug%2:30:02::
hom_877_9	uproot%2:41:00::	uproot%2:35:00::
hom_878_10	chemistry%1:09:00::	chemistry%1:24:00::
hom_881_11	track%1:06:01::	track%1:17:00::
hom_886_12	working%5:00:02:operative:00	working%5:00:00:practical:00
hom_891_9	scramble%2:30:00::	scrambled%5:00:00:disorganized:00
hom_897_15	stuck%5:00:00:perplexed:00	stuck%3:00:00::
hom_898_6	bird%1:18:00::	bird%1:06:01::
hom_901_10	glow%1:19:01::	glowing%1:19:00::
hom_903_7	booming%5:00:00:full:01	booming%5:00:00:successful:00
hom_906_4	plant%2:35:06::	plant%2:35:00::
hom_907_13	ear%1:20:00::	ear%1:09:01::
hom_908_19	shoot%2:43:00::	shoot%2:35:00::
hom_910_8	drone%1:05:00::	drone%1:10:00::
hom_911_15	garnish%2:36:00::	garnish%2:40:00::
hom_912_9	express%2:32:02::	express%2:35:11::
hom_914_7	rare%5:00:00:raw:00	rare%5:00:00:extraordinary:00
hom_915_16	observant%5:00:00:attentive:00	observant%5:00:00:perceptive:00
hom_916_8	ground%2:35:03::	ground%2:35:02::
hom_917_15	fire%2:37:00::	fire%2:33:01::
hom_918_17	dry%5:00:01:plain:01	dry%3:00:03::
hom_920_11	blowup%1:11:00::	blowup%1:06:00::
hom_923_6	issue%1:21:01::	issue%1:04:01::
hom_924_10	cut%2:38:15::	cut%2:38:08::
hom_925_10	dock%2:35:00::	dock%2:40:01::
hom_929_13	haywire%1:06:00::	haywire%5:00:00:insane:00
hom_934_10	spirit%1:18:00::	spirit%1:07:00::
hom_937_22	complex%1:12:00::	complex%1:09:00::
hom_938_8	split%2:38:00::	split%5:00:00:cut:01
hom_940_22	ball%1:08:01::	ball%1:06:01::
hom_941_28	change%2:38:00::	change%1:24:00::
hom_942_10	stroke%1:10:00::	stroke%1:04:04::
hom_943_9	leaf%1:20:00::	leaf%2:29:00::
hom_945_14	stacked%3:44:00::	stack%2:35:06::
hom_946_12	driving%5:00:00:dynamic:00	driving%5:00:00:energetic:00
hom_949_17	knock%2:35:04::	knock%2:32:02::
hom_954_13	line%1:25:00::	line%1:10:05::
hom_956_8	leap%2:30:00::	leap%2:38:10::
hom_958_15	toast%1:13:00::	toast%2:34:00::
hom_959_15	frank%2:35:00::	frank%5:00:00:direct:02
hom_960_13	spin%2:38:01::	spin%2:38:00::
hom_962_16	operate%2:35:03::	operate%2:29:00::
hom_964_13	conduct%2:38:01::	conduct%1:07:00::
hom_968_1	jumpstart%2:38:00::	leap%2:30:00::
hom_969_14	cooked%3:00:00::	cook%2:41:00::
hom_970_8	exhaust%2:40:00::	exhausted%5:00:00:tired:00
hom_972_8	trail%2:35:03::	trail%2:38:00::
hom_973_7	beady%5:00:00:bright:00	beady%5:00:00:adorned:00
hom_974_8	downhill%1:11:00::	downhill%4:02:00::
hom_976_13	pull%2:38:03::	pull%2:38:13::
hom_977_11	stand%2:42:02::	stand%2:42:00::
hom_979_18	lousy%5:00:00:nasty:00	lousy%5:00:00:dirty:01
hom_981_13	stunning%5:00:00:beautiful:00	stunning%5:00:00:disorienting:00
hom_984_21	lock%2:37:00::	lock%2:35:02::
hom_985_11	sign%2:32:02::	sign%1:15:00::
hom_987_10	calf%1:05:00::	calf%1:05:01::
hom_990_11	plant%2:35:00::	plant%1:09:00::
hom_992_21	poacher%1:05:00::	poacher%1:06:00::
hom_993_19	reservation%1:04:00::	reservation%1:04:01::
hom_994_11	stave%2:30:00::	stave%1:10:00::
hom_995_17	calve%2:29:00::	calve%2:35:00::
hom_996_16	thrown%5:00:00:tangled:00	throw%2:38:03::
hom_998_19	kid%2:32:00::	kid%2:32:01::
hom_1002_11	point%2:32:00::	point%2:33:10::
hom_1004_12	stalk%2:38:03::	stalk%2:38:00::
hom_1006_11	staff%1:14:00::	faculty%1:14:00::
hom_1007_15	look%2:39:02::	looking%5:00:00:superficial:00
hom_1008_8	knockout%1:18:00::	knockout%1:04:00::
hom_1010_9	reflective%3:00:00::	reflective%5:00:00:thoughtful:00
hom_1013_5	tap%2:38:04::	tap%1:06:00::
hom_1014_17	drift%1:06:00::	drift%2:35:03::
hom_1015_13	strain%2:34:00::	strain%1:26:00::
hom_1016_18	sentence%1:28:00::	sentence%1:10:00::
hom_1017_15	picket%2:41:00::	picket%1:04:00::
hom_1018_7	turn%1:04:07::	turn%2:35:11::
hom_1020_7	absorb%2:35:00::	absorb%2:30:00::
hom_1024_12	connection%1:04:01::	connection%1:04:00::
hom_1025_8	render%2:30:04::	render%2:30:00::
hom_1028_20	produce%2:36:00::	seduce%2:35:00::
hom_1030_8	state%1:26:02::	state%1:14:00::
hom_1031_11	circulation%1:10:00::	circulation%1:23:00::
hom_1032_11	stern%1:18:00::	stern%5:00:00:demanding:01
hom_1034_16	dark%5:00:00:brunet:00	dark%1:28:00::
hom_1035_11	buzz%2:42:00::	buzz%2:39:00::
hom_1036_13	project%2:36:00::	project%2:35:01::
hom_1037_7	cop%2:35:00::	cop%2:40:00::
hom_1039_9	fire%2:38:02::	fire%2:37:00::
hom_1040_8	develop%2:29:00::	develop%2:42:00::
hom_1042_7	illuminating%3:00:00::	illuminating%3:00:00::
hom_1043_10	counter%1:06:03::	counter%1:18:00::
hom_1044_12	struck%5:00:00:affected:00	struck%5:00:00:affected:00
hom_1045_12	net%2:40:00::	net%1:21:00::
hom_1049_7	legend%1:10:01::	legend%1:10:00::
hom_1050_8	sleep_together%2:35:00::	sexual_love%1:04:00::
hom_1052_18	crop%2:35:00::	crop%2:36:01::
hom_1053_2	do%2:42:00::	advent%1:04:00::
hom_1054_4	turf%2:35:00::	turf%2:35:00::
hom_1056_43	look%2:42:00::	look%2:39:00::
hom_1057_9	pine%1:20:02::	pine%2:37:00::
hom_1058_9	delivery%1:04:04::	delivery%1:04:03::
hom_1060_15	sentence%2:32:00::	sentence%1:04:00::
hom_1061_13	spectacles%1:06:00::	spectacle%1:10:00::
hom_1062_9	withdrawal%1:04:02::	withdrawal%1:04:06::
hom_1063_13	taking%5:00:00:attractive:01	taking%1:04:00::
hom_1065_14	play%2:35:00::	play%2:33:03::
hom_1066_15	break%2:32:00::	break%2:41:11::
hom_1067_16	serve%1:04:00::	serve%2:33:01::
hom_1071_18	standard%1:06:01::	standard%1:06:02::
hom_1072_17	harden%2:30:03::	hardened%5:00:05:hard:02
hom_1073_17	volume%1:07:02::	volume%1:07:03::
hom_1074_12	hook%2:35:01::	hook%2:40:02::
hom_1078_8	monumental%3:01:00::	monumental%5:00:00:significant:00
hom_1079_13	grain%1:07:01::	grain%2:35:00::
hom_1082_12	core%1:06:00::	core%2:35:00::
hom_1084_12	space%2:38:00::	space%1:25:00::
hom_1085_10	fly%2:38:04::	fly%2:30:01::
hom_1090_18	rage%1:26:01::	rage%2:42:01::
hom_1091_1	respect%2:41:00::	honor%1:07:01::
hom_1092_12	heart%1:25:00::	heart%1:13:00::
hom_1093_12	circulation%1:04:00::	circulation%1:11:00::
hom_1100_13	snag%1:20:00::	snag%2:35:01::
hom_1101_21	bloomer%1:20:00::	bloomer%1:04:00::
hom_1102_13	mole%1:07:00::	mole%1:05:00::
hom_1103_8	walk%2:38:00::	walk%2:38:04::
hom_1107_22	relief%1:12:00::	relief%1:28:00::
hom_1109_4	itch%2:39:01::	itch%2:37:00::
hom_1111_3	miss%1:10:00::	miss%2:38:00::
hom_1114_5	foundation%1:09:01::	foundation%1:04:00::
hom_1116_16	cavity%1:22:00::	cavity%1:17:00::
hom_1119_44	mature%2:32:00::	mature%3:00:04::
hom_1122_14	hives%1:26:00::	hive%2:38:00::
hom_1123_18	hard%4:02:01::	hard%3:00:03::
hom_1124_10	balance%1:07:00::	balance%2:40:00::
hom_1126_6	calve%2:29:00::	calve%2:35:00::
hom_1130_14	drill%1:04:00::	drill%1:06:00::
hom_1132_12	roots%1:26:00::	root%2:30:02::
hom_1133_10	current%1:11:00::	current%1:14:00::
hom_1135_12	pool%2:33:00::	pool%2:40:00::
hom_1136_16	concentration%1:04:02::	concentration%1:09:00::
hom_1139_14	develop%2:31:00::	develop%2:42:00::
hom_1140_25	fault%1:04:01::	fault%1:17:00::
hom_1143_2	charge%2:40:04::	charge%2:31:12::
hom_1144_26	table%2:36:00::	table%1:14:01::
hom_1147_10	draw%2:41:13::	draw%2:40:01::
hom_1148_18	float%1:06:01::	float%2:31:00::
hom_1151_20	aggregate%1:06:00::	aggregate%2:35:00::
hom_1153_10	ring%1:14:00::	ring%2:32:00::
hom_1156_8	reception%1:10:00::	reception%1:04:03::
hom_1158_9	laid%5:00:00:arranged:00	laid%5:00:00:arranged:00
hom_1160_16	elimination%1:04:03::	elimination%1:04:01::
hom_1161_13	reservation%1:04:01::	reservation%1:09:01::
hom_1162_8	lumber%2:38:00::	lumber%1:27:00::
hom_1164_24	pan%1:05:00::	pan%1:18:00::
hom_1165_9	downhill%1:11:00::	downhill%4:02:00::
hom_1166_4	nursing%1:04:01::	nursing%1:14:00::
hom_1168_14	kid%2:32:01::	kid%2:32:00::
hom_1171_21	batter%2:30:00::	batter%2:35:00::
hom_1172_3	drool%2:37:00::	drool%2:29:00::
hom_1173_8	strain%1:26:00::	strain%1:10:00::
hom_1174_9	thirst%1:07:00::	thirst%2:39:00::
hom_1175_13	tune%2:30:00::	tune%2:30:01::
hom_1179_7	scale%2:36:00::	scale%1:10:00::
hom_1181_19	bust%1:06:00::	bust%2:35:02::
hom_1182_18	fit%5:00:00:ready:00	fit%2:30:02::
hom_1184_18	boot%2:29:00::	boot%2:35:00::
hom_1185_8	recover%2:40:01::	recover%2:29:00::
hom_1186_14	hit%1:04:03::	hit%2:33:02::
hom_1190_11	rich%5:00:00:unwholesome:00	rich%1:14:00::
hom_1191_15	bar%1:06:06::	bar%1:06:07::
hom_1192_9	entrance%2:37:00::	entrance%2:29:00::
hom_1194_16	straight%5:00:00:continuous:01	straight%1:14:00::
hom_1195_13	world%1:17:00::	world%1:05:00::
hom_1198_10	hold%2:41:00::	hold%2:36:00::
hom_1200_7	roll%1:10:01::	roll%2:35:00::
hom_1201_6	wave%1:18:00::	wave%1:19:00::
hom_1209_18	target%1:18:00::	target%1:06:00::
hom_1211_5	loaded%3:00:00::	loaded%5:00:00:prejudiced:00
hom_1213_18	swallow%2:35:00::	swallow%2:31:00::
hom_1214_9	pick%2:35:05::	pick%1:06:02::
hom_1215_14	patch%1:28:00::	patch%1:06:01::
hom_1217_9	shelve%2:42:00::	shelve%2:35:10::
hom_1224_17	spin%2:32:00::	spin%2:38:01::
hom_1225_21	grass%1:20:00::	supergrass%1:18:00::
hom_1227_6	carry%2:42:01::	take%2:33:08::
hom_1229_12	still%4:02:01::	still%2:30:05::
hom_1232_16	driving%1:04:03::	driving%5:00:00:dynamic:00
hom_1234_12	run%2:38:04::	run%2:38:05::
hom_1236_14	fathom%2:31:00::	fathom%2:30:00::
hom_1239_12	sum%1:09:01::	sum%1:09:00::
hom_1241_4	bypass%1:06:01::	bypass%1:08:00::
hom_1245_4	remain%2:42:05::	remains%1:08:00::
hom_1246_7	vegetate%2:42:00::	vegetate%2:29:00::
hom_1247_8	refined%3:00:02::	refined%3:00:01::
hom_1248_13	manila%1:15:00::	capital_of_the_philippines%1:15:00::
hom_1249_8	cast%2:36:01::	cast%1:04:02::
hom_1251_18	turn%2:38:00::	turn%1:04:07::
hom_1257_11	engaging%5:00:00:attractive:01	engaging%5:00:00:attractive:01
hom_1260_27	cinch%1:06:00::	cinch%2:31:00::
hom_1262_11	strain%2:37:00::	strain%2:34:00::
hom_1267_16	direction%1:04:01::	direction%1:10:00::
hom_1268_10	milk%2:30:00::	milk%2:30:01::
hom_1269_11	underworld%1:14:00::	underworld%1:09:00::
hom_1270_9	wrapped%3:00:00::	wrap%2:35:00::
hom_1271_11	classified_ad%1:10:00::	relegate%2:31:02::
hom_1274_12	made%5:00:00:successful:00	made%3:00:00::
hom_1275_20	channel%2:35:00::	channel%1:25:00::
hom_1276_7	group%1:03:00::	group%1:09:00::
hom_1277_6	take%2:31:07::	take%2:30:01::
hom_1278_16	cavity%1:17:00::	cavity%1:22:00::
hom_1279_18	heat%2:37:00::	heated%5:00:00:hot:02
hom_1281_7	drawing%1:10:00::	draw%2:40:01::
hom_1282_9	unstrung%5:00:00:discomposed:00	unstrung%5:00:00:discomposed:00
hom_1283_15	cold%5:00:00:cool:03	cold%1:07:00::
hom_1284_6	jerk%2:35:01::	jerk%1:13:00::
hom_1287_16	combination%1:14:03::	combination%1:14:01::
hom_1291_6	rave%2:32:00::	rave%2:41:00::
hom_1292_15	go%2:33:00::	go%2:30:00::
hom_1294_13	heated%5:00:00:hot:02	heated%5:00:00:hot:01
hom_1295_8	bust%2:35:00::	bust%2:35:02::
hom_1296_12	highlight%2:29:00::	highlight%2:30:00::
hom_1298_3	boil%2:37:00::	boiling%1:22:00::
hom_1300_10	sentence%2:32:00::	sentence%1:04:00::
hom_1301_13	impact%1:04:01::	impact%2:35:01::
hom_1302_14	stuck%5:00:00:perplexed:00	stuck%3:00:00::
hom_1304_11	commission%1:21:00::	commission%1:04:01::
hom_1305_8	interest%1:04:01::	interest%1:21:03::
hom_1308_8	change%2:30:00::	change%2:30:04::
hom_1309_25	fly%2:38:06::	fly%2:38:04::
hom_1310_8	skeleton%1:06:00::	skeleton%1:11:00::
hom_1311_10	rock%2:38:06::	rock%2:38:00::
hom_1312_6	flop%1:04:00::	flop%4:02:01::
hom_1314_14	break%2:38:11::	break%2:30:14::
hom_1315_7	credit%1:21:00::	credit%1:09:00::
hom_1317_15	develop%2:30:04::	develop%2:36:01::
hom_1320_7	file%1:10:00::	file%1:06:00::
hom_1323_9	judgment%1:10:00::	judgment%1:04:00::
hom_1326_16	gut%1:08:00::	gut%2:35:00::
hom_1327_18	lead%1:10:02::	lead%2:42:00::
hom_1329_8	save%2:40:04::	write%2:32:03::
hom_1331_17	ring%1:06:01::	ring%2:39:01::
hom_1332_18	connection%1:04:01::	connection%1:04:00::
hom_1334_10	impress%2:35:01::	impress%2:35:00::
hom_1336_9	react%2:30:00::	react%2:31:00::
hom_1339_17	mark%1:09:01::	mark%1:10:05::
hom_1340_7	draw%2:40:01::	draw%2:35:09::
hom_1342_12	resort%1:15:00::	resort%2:38:00::
hom_1343_12	cram%2:31:00::	cram%2:30:00::
hom_1344_10	express%2:39:09::	express%2:32:02::
hom_1345_16	connection%1:04:00::	connection%1:18:00::
hom_1348_13	lie%2:42:01::	lied%1:10:00::
hom_1349_12	point%2:32:00::	point%2:33:10::
hom_1351_10	undertaking%1:04:01::	undertaking%1:04:00::
hom_1355_4	hot%5:00:00:warm:03	hot%5:00:00:good:01
hom_1356_15	pupil%1:18:01::	pupil%1:08:00::
hom_1357_9	axe%2:35:00::	ax%2:35:00::
hom_1358_9	run%2:38:13::	run%2:42:00::
hom_1359_26	serve%2:35:01::	serve%2:41:02::
hom_1363_10	dribbling%1:04:00::	dribbling%1:04:00::
hom_1366_12	stir%2:37:00::	stir%2:38:01::
hom_1367_16	web%1:06:02::	web%1:06:01::
hom_1368_13	comfortable%3:00:01::	comfortable%5:00:00:rich:00
hom_1369_2	nail%2:35:02::	nail%2:41:00::
hom_1372_10	try%2:30:00::	try%2:41:06::
hom_1373_9	rib%1:06:01::	rib%1:08:01::
hom_1374_14	dive%2:38:01::	dive%1:06:01::
hom_1377_12	drift%1:06:00::	drift%2:38:02::
hom_1379_8	keep%2:41:02::	keep%2:42:00::
hom_1381_14	shot%1:04:06::	shot%1:06:01::
hom_1382_12	lying%1:04:00::	lying%1:04:00::
hom_1383_15	rattled%5:00:00:discomposed:00	rattle%2:38:00::
hom_1384_12	brush%1:05:00::	brush%1:04:04::
hom_1387_20	milkshake%1:13:00::	shake%2:32:00::
hom_1389_8	astronomic%5:00:00:large:00	astronomical%5:00:00:large:00
hom_1391_7	culture%2:30:00::	cultured%5:00:00:refined:01
hom_1393_9	chime%2:39:00::	chime%2:39:00::
hom_1394_8	broke%5:00:00:poor:00	broke%5:00:00:poor:00
hom_1395_12	scale%2:35:00::	scale%2:30:01::
hom_1396_10	strain%1:14:01::	strain%1:10:00::
hom_1397_6	striking%1:04:00::	striking%5:00:00:conspicuous:00
hom_1400_19	strike%2:32:00::	strike%2:30:00::
hom_1403_10	figure%1:06:00::	figure%2:36:00::
hom_1404_15	flap%2:37:00::	flap%2:38:01::
hom_1407_4	run%2:38:13::	run%1:04:02::
hom_1408_13	sentence%2:32:00::	sentence%1:28:00::
hom_1410_9	taste%2:31:05::	taste%2:39:02::
hom_1412_19	gravitate%2:38:00::	gravitate%2:42:00::
hom_1414_16	multiply%2:29:00::	multiply%2:29:01::
hom_1416_20	fall%2:38:00::	fall%1:04:02::
hom_1417_10	interest%1:04:01::	interest%1:21:03::
hom_1419_10	brush%1:04:03::	brush%2:30:00::
hom_1421_13	state%1:26:02::	state%2:32:01::
hom_1423_15	guide%1:18:01::	guide%1:18:00::
hom_1424_20	push%2:41:10::	push%2:40:00::
hom_1426_8	loop%1:09:00::	loop%2:35:01::
hom_1428_8	punch%2:35:01::	punch%1:04:00::
hom_1429_26	single%3:00:02::	single%2:35:00::
hom_1431_10	fall%2:38:01::	fall%1:04:02::
hom_1432_10	attraction%1:07:00::	attraction%1:18:00::
hom_1433_10	measure%1:10:03::	measure%1:04:01::
hom_1435_17	advanced%5:00:00:civilized:00	advance%2:41:00::
hom_1436_9	shuffle%2:38:01::	shuffle%2:35:00::
hom_1437_15	drive%2:38:11::	drive%2:33:00::
hom_1439_11	level%1:06:01::	level%5:00:00:equal:00
hom_1441_9	hiding%1:26:00::	hiding%1:04:00::
hom_1442_14	harp%2:36:00::	harp%2:32:00::
hom_1449_20	deal%2:40:06::	deal%2:41:13::
hom_1450_9	discharge%2:33:02::	discharge%2:41:01::
hom_1452_15	depth%1:07:00::	depth%1:07:02::
hom_1453_3	overboard%4:02:00::	overboard%4:02:01::
hom_1458_1	postage%1:10:00::	tender%1:21:00::
hom_1462_18	pocket%1:08:00::	pocket%1:25:02::
hom_1463_17	concrete%2:30:00::	concrete%2:35:00::
hom_1465_17	fogged%5:00:00:opaque:00	dazed%5:00:00:lethargic:00
hom_1466_23	cast%2:35:01::	cast%2:36:01::
hom_1469_4	date%2:41:01::	date%2:31:00::
hom_1470_5	tip%2:38:00::	tipped%3:00:00::
hom_1471_11	fold%2:35:04::	fold%2:35:00::
hom_1473_13	will%1:10:00::	will%2:31:01::
hom_1477_15	tack%1:06:02::	tack%2:30:02::
hom_1479_22	plot%1:15:00::	plot%2:36:03::
hom_1483_12	moped%1:06:00::	mope%2:37:00::
hom_1485_15	time%1:28:00::	time%1:11:01::
hom_1486_5	candid%5:00:00:unstudied:00	candid%5:00:00:ingenuous:00
hom_1488_18	lead%1:09:00::	lead%2:38:02::
hom_1492_14	run%2:42:00::	run%2:38:13::
hom_1495_23	develop%2:29:00::	develop%2:30:10::
hom_1496_16	shape%1:03:00::	shape%2:31:00::
hom_1497_12	return%1:10:01::	return%2:32:02::
hom_1499_9	still%1:06:01::	still%2:30:05::
hom_1501_12	animate%2:30:01::	animate%2:30:00::
hom_1502_7	window%1:06:03::	windows%1:10:00::
hom_1504_10	function%1:24:00::	function%2:35:00::
hom_1505_22	party%1:14:01::	party%1:18:00::
hom_1507_15	hitch%2:35:13::	hitch%2:35:00::
hom_1508_15	put%1:04:00::	put%2:39:13::
hom_1510_7	rough%4:02:00::	rough%5:00:00:inexact:00
hom_1513_6	atmosphere%1:23:00::	atmosphere%1:07:00::
hom_1514_5	deep%5:00:00:esoteric:00	deep%5:00:01:intense:00
hom_1516_14	move%2:41:02::	move%2:41:00::
hom_1517_14	chip%2:35:01::	chip%2:35:03::
hom_1518_18	filling%1:06:01::	filling%1:22:00::
hom_1519_10	touch%2:35:01::	touch%2:41:00::
hom_1520_7	breeze%1:19:00::	breeze%1:04:00::
hom_1521_9	suspend%2:42:00::	suspend%2:41:00::
hom_1523_14	key%1:18:00::	key%1:15:00::
hom_1527_18	collect%2:40:00::	collect%2:35:00::
hom_1532_14	rich%5:00:00:unwholesome:00	rich%1:14:00::
hom_1534_17	pump%2:38:00::	pumped%5:00:00:tense:03
hom_1535_10	cleanly%4:02:00::	cleanly%5:00:00:clean:01
hom_1537_9	odds%1:24:00::	odds%1:07:00::
hom_1538_6	umbrella%5:00:00:comprehensive:00	umbrella%1:04:01::
hom_1539_10	disconnect%2:35:03::	disconnected%3:00:02::
hom_1540_15	reveal%2:32:00::	reveal%2:39:00::
hom_1541_12	partial%5:00:00:inclined:02	partial%1:09:00::
hom_1542_9	turn%2:29:00::	turn%1:28:01::
hom_1543_14	execution%1:10:01::	execution%1:04:02::
hom_1545_17	pick%2:34:00::	pick%2:31:00::
hom_1547_10	expire%2:30:00::	expire%2:42:00::
hom_1549_14	strike%2:30:00::	strike%2:32:00::
hom_1553_11	scratch%2:35:07::	scratch%2:35:00::
hom_1555_11	broke%5:00:00:poor:00	broke%5:00:00:poor:00
hom_1557_6	storm%1:19:00::	storm%2:33:00::
hom_1558_9	stroke%1:26:00::	stroke%1:10:00::
hom_1559_10	count%1:18:00::	count%2:31:02::
hom_1560_7	high%4:02:02::	high%5:00:00:intoxicated:00
hom_1561_16	column%1:06:01::	column%1:10:01::
hom_1563_12	temple%1:06:02::	temple%1:06:01::
hom_1564_14	floor%2:37:00::	floor%1:06:02::
hom_1565_9	unstrung%5:00:00:discomposed:00	unstrung%5:00:00:discomposed:00
hom_1567_13	stride%2:38:03::	stride%1:04:01::
hom_1569_9	fork%1:06:00::	fork%2:30:00::
hom_1570_11	recover%2:40:01::	recover%2:40:06::
hom_1573_6	dry%5:00:01:plain:01	dry%5:00:00:humorous:00
hom_1574_15	grave%1:06:00::	sculpt%2:35:00::
hom_1578_10	dark%5:00:00:evil:00	dark%5:00:00:concealed:00
hom_1579_16	get%2:30:01::	get%2:30:02::
hom_1585_13	ground%1:16:00::	ground%1:17:00::
hom_1587_9	weed%2:30:00::	weed%2:30:00::
hom_1588_16	cut%2:38:01::	cut%2:30:06::
hom_1589_13	unravel%2:35:00::	unravel%2:35:01::
hom_1590_20	charge%1:16:00::	charge%2:35:02::
hom_1591_7	faint%5:00:02:indistinct:00	faint%5:00:00:perceptible:00
hom_1592_11	fold%2:35:00::	fold%2:41:00::
hom_1593_4	quarter%1:21:00::	quarter%2:31:00::
hom_1596_10	add%2:30:00::	add%2:31:00::
hom_1602_20	short%1:06:01::	short%2:41:00::
hom_1605_15	screw%2:35:04::	screw%2:35:01::
hom_1607_10	accidental%1:10:00::	accidental%1:10:00::
hom_1608_11	chain%1:17:01::	chain%1:06:00::
hom_1609_16	stiff%4:02:00::	stiff%5:00:00:strong:00
hom_1610_11	coaster%1:06:00::	coaster%1:18:00::
hom_1614_12	premise%2:31:00::	premise%2:32:00::
hom_1615_7	make%2:42:00::	make%2:38:10::
hom_1616_7	rambling%5:00:00:indirect:02	rambling%5:00:00:untidy:00
hom_1618_13	vision%1:11:00::	vision%1:09:02::
hom_1620_11	still%4:02:01::	still%2:30:05::
hom_1622_7	bluster%2:29:00::	bluster%2:32:00::
hom_1624_9	disjoin%2:35:00::	disjointed%5:00:00:injured:00
hom_1625_14	makeup%1:11:00::	makeup%1:06:00::
hom_1627_10	release%2:30:00::	release%2:35:01::
hom_1628_10	stop%2:38:01::	stop%1:10:01::
hom_1632_15	choke%2:29:04::	choke%2:35:02::
hom_1635_11	point%2:33:10::	point%2:32:11::
hom_1636_11	chopper%1:06:01::	chopper%1:06:00::
hom_1637_15	mouse%2:38:00::	mouse%1:06:00::
hom_1638_12	moving%3:00:03::	moving%3:00:02::
hom_1642_6	hearing%1:04:01::	hearing%1:10:00::
hom_1645_11	caper%1:04:00::	caper%2:38:00::
hom_1646_7	latitude%1:26:00::	latitude%1:07:02::
hom_1647_10	circulation%1:04:00::	circulation%1:11:00::
hom_1648_11	light%1:07:01::	light%1:18:00::
hom_1650_6	grind%2:41:00::	grind%2:38:00::
hom_1651_22	phase%1:07:00::	phase%1:28:00::
hom_1652_8	paper%2:35:01::	paper%1:06:00::
hom_1653_13	light%1:19:00::	light%2:38:01::
hom_1655_6	tablet%1:06:01::	tablet%1:06:02::
hom_1657_9	layer%1:05:01::	layer%1:09:00::
hom_1658_10	spoil%2:41:01::	spoil%2:41:00::
hom_1661_12	kick%2:32:00::	kick%1:11:00::
hom_1663_8	unwind%2:29:00::	unwind%2:29:01::
hom_1666_5	part%2:35:00::	part%2:38:02::
hom_1670_10	interest%1:14:00::	interest%1:04:01::
hom_1671_10	attach%2:40:00::	attach%2:41:03::
hom_1675_10	revolution%1:11:00::	revolution%1:04:00::
hom_1676_12	chime%2:39:00::	chime%2:39:00::
hom_1677_13	behind%1:08:00::	behind%4:02:01::
hom_1680_9	heart%1:13:00::	heart%1:08:00::
hom_1682_14	light%1:19:00::	light%3:00:04::
hom_1685_10	spark%1:18:00::	spark%2:43:00::
hom_1686_7	load%2:35:02::	charge%2:35:02::
hom_1687_13	work%2:29:00::	work%2:41:03::
hom_1689_7	vision%1:09:01::	vision%1:11:00::
hom_1690_4	fumigate%2:39:00::	reek%2:29:00::
hom_1691_15	proof%1:23:00::	proof%1:04:00::
hom_1692_11	backhand%3:00:00::	backhanded%3:00:00::
hom_1694_12	waste%2:40:00::	blow%2:39:00::
hom_1697_26	contact%2:35:03::	contact%1:06:00::
hom_1698_17	blaze%1:04:00::	blaze%1:11:00::
hom_1700_16	tired%3:00:00::	tired%5:00:00:unoriginal:00
hom_1701_7	bill%1:21:00::	note%1:07:00::
hom_1702_5	short%3:00:04::	short%3:00:01::
hom_1703_13	incensed%5:00:00:angry:00	incense%2:39:00::
hom_1704_15	point%2:33:10::	point%2:32:11::
hom_1707_13	tie%1:11:00::	tie%1:10:00::
hom_1708_3	flag%2:38:01::	flag%2:32:00::
hom_1711_7	buzz%2:39:00::	buzz%2:42:00::
hom_1713_13	attractive%3:00:02::	attractive%3:00:01::
hom_1714_8	change%2:30:02::	change%1:21:03::
hom_1715_7	bust%2:41:00::	bust%2:35:02::
hom_1717_6	wee%5:00:00:early:00	wee%1:28:00::
hom_1719_13	unleash%2:35:02::	unleash%2:35:00::
hom_1720_15	sentence%2:32:00::	sentence%1:10:00::
hom_1726_13	remote%1:06:00::	remote%5:00:00:unlikely:00
hom_1727_11	bit%1:13:00::	bit%1:23:00::
hom_1729_10	table%1:06:02::	table%2:36:00::
hom_1732_12	fine%2:41:00::	fine%1:21:00::
hom_1734_12	dawn%2:31:13::	dawn%2:30:00::
hom_1735_4	swell%2:42:03::	swell%1:17:00::
hom_1737_4	poach%2:30:00::	poach%2:33:00::
hom_1739_11	high%5:00:00:intoxicated:00	high%3:00:03::
hom_1742_20	circulation%1:10:00::	circulation%1:04:00::
hom_1744_12	sum%2:42:00::	sum%2:32:00::
hom_1747_10	unbelievable%3:00:04::	unbelievable%5:00:00:implausible:00
hom_1748_19	skinny%5:00:00:tight:01	skinny%1:10:00::
hom_1749_15	pepper%2:33:00::	pepper%2:39:00::
hom_1750_11	stop%1:06:03::	stop%1:10:00::
hom_1751_20	stone%2:35:00::	stone%2:30:00::
hom_1753_14	pointless%3:00:00::	pointless%5:00:00:worthless:00
hom_1755_4	toss_off%2:34:00::	pop_music%1:10:00::
hom_1756_14	gift%2:40:00::	gift%1:21:00::
hom_1757_13	relish%2:37:00::	relish%1:09:00::
hom_1758_11	fed%1:14:00::	fed%1:18:00::
